name,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_points,NCAAB_steal_percentage,NCAAB_steals,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_win_shares,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,Center,Forward,Guard
Landry Fields,89.0,25.0,506.0,0.49,248.0,0.508,257.0,0.696,179.0,32.0,32.0,79,65.0,704.0,2.6,51.0,0.17,86.0,14.1,280.0,11.7,83.0,420.0,0.521,6.0,155.0,17.0,797.0,80.0,521.0,0,0,1
Andy Rautins,171.0,8.0,297.0,0.43799999999999994,130.0,0.273,81.0,0.815,66.0,35.0,35.0,77,76.0,424.0,3.4,69.0,0.8109999999999999,241.0,5.8,118.0,22.6,98.0,56.0,0.5710000000000001,4.9,3.0,0.0,8.0,1.0,1.0,0,0,1
Patrick Patterson,36.0,51.0,374.0,0.575,215.0,0.348,130.0,0.6920000000000001,90.0,38.0,38.0,81,61.0,544.0,1.2,27.0,0.184,69.0,12.1,283.0,8.6,41.0,305.0,0.626,7.0,41.0,37.0,328.0,17.0,200.0,0,1,0
Gani Lawal,15.0,49.0,325.0,0.529,172.0,0.6829999999999999,222.0,0.5720000000000001,127.0,36.0,36.0,81,76.0,471.0,1.0,16.0,0.003,1.0,17.6,305.0,15.3,78.0,324.0,0.531,4.1,0.0,0.0,0.0,0.0,0.0,0,1,0
Cole Aldrich,31.0,125.0,265.0,0.562,149.0,0.6,159.0,0.679,108.0,36.0,36.0,83,92.0,406.0,1.6,27.0,0.0,0.0,20.0,354.0,14.1,56.0,265.0,0.562,5.9,4.0,7.0,18.0,5.0,35.0,1,0,0
Jeremy Lin,131.0,31.0,287.0,0.519,149.0,0.6829999999999999,196.0,0.755,148.0,29.0,29.0,74,85.0,476.0,4.5,71.0,0.307,88.0,8.6,127.0,19.1,90.0,199.0,0.598,5.3,42.0,9.0,76.0,33.0,34.0,0,0,1
Ekpe Udoh,97.0,133.0,390.0,0.49,191.0,0.415,162.0,0.685,111.0,36.0,36.0,82,87.0,500.0,1.4,29.0,0.067,26.0,15.6,351.0,15.7,87.0,364.0,0.505,6.1,40.0,86.0,236.0,22.0,181.0,1,0,0
Dexter Pittman,17.0,63.0,214.0,0.654,140.0,0.631,135.0,0.556,75.0,34.0,34.0,82,90.0,355.0,1.0,12.0,0.0,0.0,15.9,199.0,17.7,60.0,214.0,0.654,3.4,0.0,0.0,2.0,0.0,3.0,1,0,0
Derrick Caracter,30.0,23.0,261.0,0.5670000000000001,148.0,0.456,119.0,0.672,80.0,27.0,22.0,81,82.0,380.0,2.1,26.0,0.057,15.0,17.1,218.0,19.5,77.0,246.0,0.585,3.4,7.0,10.0,81.0,4.0,43.0,0,1,0
Devin Ebanks,83.0,23.0,315.0,0.457,144.0,0.483,152.0,0.77,117.0,34.0,31.0,81,54.0,408.0,1.9,36.0,0.095,30.0,13.6,275.0,16.2,75.0,285.0,0.495,4.6,2.0,5.0,62.0,4.0,27.0,0,1,0
Lazar Hayward,52.0,18.0,514.0,0.43200000000000005,222.0,0.247,127.0,0.843,107.0,34.0,34.0,78,115.0,616.0,3.6,64.0,0.36200000000000004,186.0,14.7,256.0,10.4,67.0,328.0,0.479,5.4,28.0,7.0,160.0,12.0,70.0,0,1,0
Dominique Jones,120.0,19.0,493.0,0.45,222.0,0.5720000000000001,282.0,0.741,209.0,33.0,33.0,76,93.0,705.0,2.8,56.0,0.33899999999999997,167.0,9.4,201.0,13.4,97.0,326.0,0.521,6.2,19.0,3.0,42.0,5.0,25.0,0,0,1
Xavier Henry,53.0,18.0,354.0,0.45799999999999996,162.0,0.325,115.0,0.7829999999999999,90.0,36.0,36.0,78,66.0,483.0,3.1,54.0,0.466,165.0,8.6,157.0,14.4,69.0,189.0,0.49200000000000005,4.9,18.0,3.0,165.0,11.0,37.0,0,0,1
Greivis Vásquez,208.0,12.0,513.0,0.429,220.0,0.314,161.0,0.857,138.0,33.0,32.0,78,69.0,647.0,2.8,56.0,0.374,192.0,7.2,153.0,15.8,111.0,321.0,0.47,5.8,151.0,4.0,249.0,22.0,73.0,0,0,1
Paul George,88.0,24.0,363.0,0.424,154.0,0.364,132.0,0.909,120.0,29.0,29.0,79,84.0,487.0,4.0,64.0,0.46,167.0,12.8,210.0,18.1,94.0,196.0,0.485,4.2,65.0,26.0,476.0,62.0,224.0,0,1,0
Lance Stephenson,84.0,6.0,368.0,0.44,162.0,0.32299999999999995,119.0,0.664,79.0,34.0,32.0,77,66.0,419.0,1.9,31.0,0.198,73.0,10.6,182.0,16.0,81.0,295.0,0.495,2.8,21.0,0.0,37.0,4.0,18.0,0,1,0
Jeremy Evans,25.0,61.0,211.0,0.649,137.0,0.441,93.0,0.688,64.0,34.0,34.0,81,98.0,341.0,1.9,28.0,0.057,12.0,15.6,235.0,12.4,36.0,199.0,0.6729999999999999,4.9,24.0,17.0,178.0,17.0,97.0,0,1,0
Derrick Favors,37.0,74.0,293.0,0.611,179.0,0.488,143.0,0.629,90.0,36.0,35.0,82,94.0,448.0,1.8,32.0,0.003,1.0,16.5,303.0,20.0,90.0,292.0,0.613,4.8,39.0,68.0,533.0,29.0,412.0,0,1,0
Gordon Hayward,62.0,30.0,373.0,0.46399999999999997,173.0,0.579,216.0,0.8290000000000001,179.0,37.0,37.0,80,78.0,572.0,2.0,40.0,0.429,160.0,15.8,305.0,15.2,85.0,213.0,0.5920000000000001,6.9,81.0,19.0,388.0,30.0,139.0,0,1,0
DeMarcus Cousins,38.0,67.0,369.0,0.5579999999999999,206.0,0.726,268.0,0.604,162.0,38.0,37.0,83,122.0,575.0,2.4,37.0,0.016,6.0,22.5,374.0,13.6,78.0,363.0,0.565,6.5,204.0,68.0,1143.0,85.0,699.0,0,1,0
